Rosalind_6339 Rosalind_4818
Rosalind_9880 Rosalind_9233
Rosalind_9880 Rosalind_0344
Rosalind_9880 Rosalind_0802
Rosalind_9880 Rosalind_7568
Rosalind_0708 Rosalind_9880
Rosalind_9233 Rosalind_4509
Rosalind_9233 Rosalind_8600
Rosalind_4554 Rosalind_2576
Rosalind_4554 Rosalind_8209
Rosalind_1500 Rosalind_7518
Rosalind_5148 Rosalind_5654
Rosalind_5148 Rosalind_2285
Rosalind_4396 Rosalind_1500
Rosalind_4396 Rosalind_7552
Rosalind_8341 Rosalind_9410
Rosalind_2350 Rosalind_4118
Rosalind_2350 Rosalind_4480
Rosalind_2350 Rosalind_6025
Rosalind_2350 Rosalind_4487
Rosalind_3366 Rosalind_2576
Rosalind_3366 Rosalind_8209
Rosalind_1372 Rosalind_2188
Rosalind_1372 Rosalind_2744
Rosalind_1372 Rosalind_4379
Rosalind_1780 Rosalind_4396
Rosalind_1780 Rosalind_7017
Rosalind_1780 Rosalind_2118
Rosalind_6352 Rosalind_0240
Rosalind_6352 Rosalind_7098
Rosalind_9785 Rosalind_3423
Rosalind_9785 Rosalind_0719
Rosalind_9785 Rosalind_7669
Rosalind_3423 Rosalind_8129
Rosalind_3423 Rosalind_0265
Rosalind_1810 Rosalind_8129
Rosalind_1810 Rosalind_0265
Rosalind_0086 Rosalind_4727
Rosalind_0086 Rosalind_1015
Rosalind_0528 Rosalind_0086
Rosalind_0528 Rosalind_9251
Rosalind_0528 Rosalind_5007
Rosalind_5654 Rosalind_2350
Rosalind_5654 Rosalind_6901
Rosalind_5654 Rosalind_7628
Rosalind_1368 Rosalind_1780
Rosalind_1368 Rosalind_4078
Rosalind_0802 Rosalind_0086
Rosalind_0802 Rosalind_9251
Rosalind_0802 Rosalind_5007
Rosalind_2517 Rosalind_0479
Rosalind_0240 Rosalind_5573
Rosalind_0240 Rosalind_3151
Rosalind_4118 Rosalind_8011
Rosalind_4118 Rosalind_1170
Rosalind_1210 Rosalind_8011
Rosalind_1210 Rosalind_1170
Rosalind_9251 Rosalind_2188
Rosalind_9251 Rosalind_2744
Rosalind_9251 Rosalind_4379
Rosalind_4192 Rosalind_7803
Rosalind_8129 Rosalind_6327
Rosalind_6901 Rosalind_0474
Rosalind_6901 Rosalind_2876
Rosalind_6901 Rosalind_8646
Rosalind_5007 Rosalind_9880
Rosalind_6103 Rosalind_3104
Rosalind_3675 Rosalind_4509
Rosalind_3675 Rosalind_8600
Rosalind_2892 Rosalind_5148
Rosalind_2892 Rosalind_8839
Rosalind_2892 Rosalind_2414
Rosalind_4727 Rosalind_6327
Rosalind_4168 Rosalind_5573
Rosalind_4168 Rosalind_3151
Rosalind_4818 Rosalind_6103
Rosalind_4818 Rosalind_9113
Rosalind_4818 Rosalind_4308
Rosalind_4301 Rosalind_6352
Rosalind_4301 Rosalind_4493
Rosalind_4301 Rosalind_1074
Rosalind_6025 Rosalind_1210
Rosalind_6025 Rosalind_7926
Rosalind_8600 Rosalind_0240
Rosalind_8600 Rosalind_7098
Rosalind_5243 Rosalind_8341
Rosalind_5243 Rosalind_2566
Rosalind_5243 Rosalind_8294
Rosalind_5975 Rosalind_1372
Rosalind_5975 Rosalind_9785
Rosalind_7098 Rosalind_8129
Rosalind_7098 Rosalind_0265
Rosalind_7017 Rosalind_3366
Rosalind_7017 Rosalind_5975
Rosalind_4487 Rosalind_1680
Rosalind_7611 Rosalind_4509
Rosalind_7611 Rosalind_8600
Rosalind_3151 Rosalind_2350
Rosalind_3151 Rosalind_6901
Rosalind_3151 Rosalind_7628
Rosalind_6327 Rosalind_1500
Rosalind_6327 Rosalind_7552
Rosalind_3904 Rosalind_1214
Rosalind_8726 Rosalind_4618
Rosalind_8726 Rosalind_0528
Rosalind_8726 Rosalind_3761
Rosalind_3761 Rosalind_4554
Rosalind_3761 Rosalind_6727
Rosalind_1214 Rosalind_3366
Rosalind_1214 Rosalind_5975
Rosalind_7552 Rosalind_0474
Rosalind_7552 Rosalind_2876
Rosalind_7552 Rosalind_8646
Rosalind_7121 Rosalind_6352
Rosalind_7121 Rosalind_4493
Rosalind_7121 Rosalind_1074
Rosalind_7628 Rosalind_1810
Rosalind_7628 Rosalind_4192
Rosalind_7628 Rosalind_5198
Rosalind_4078 Rosalind_3675
Rosalind_4078 Rosalind_4168
Rosalind_4493 Rosalind_6339
Rosalind_8294 Rosalind_3366
Rosalind_8294 Rosalind_5975
Rosalind_0265 Rosalind_6055
Rosalind_0265 Rosalind_8726
Rosalind_7518 Rosalind_4554
Rosalind_7518 Rosalind_6727
Rosalind_0479 Rosalind_6103
Rosalind_0479 Rosalind_9113
Rosalind_0479 Rosalind_4308
Rosalind_7926 Rosalind_2892
Rosalind_7926 Rosalind_4301
Rosalind_7568 Rosalind_4554
Rosalind_7568 Rosalind_6727
Rosalind_1015 Rosalind_5243
Rosalind_0474 Rosalind_7518
Rosalind_2744 Rosalind_6055
Rosalind_2744 Rosalind_8726
Rosalind_4308 Rosalind_4618
Rosalind_4308 Rosalind_0528
Rosalind_4308 Rosalind_3761
Rosalind_7803 Rosalind_2576
Rosalind_7803 Rosalind_8209
Rosalind_8646 Rosalind_8011
Rosalind_8646 Rosalind_1170
Rosalind_2118 Rosalind_3904
Rosalind_2118 Rosalind_1214
Rosalind_6727 Rosalind_2576
Rosalind_6727 Rosalind_8209
Rosalind_9410 Rosalind_2264
Rosalind_7669 Rosalind_9410
Rosalind_8209 Rosalind_3104
Rosalind_4379 Rosalind_1372
Rosalind_4379 Rosalind_9785
